timestamp,datapath_id,flow_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flow_duration_nsec,idle_timeout,hard_timeout,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nsecond,byte_count_per_second,byte_count_per_nsecond,label
1589932786.273955,4,10.0.0.104345610.0.0.1450511,10.0.0.10,43456,10.0.0.14,5051,1,0,8,24,233000000,20,100,0,23,2254,0.9583333333333334,9.871244635193133e-08,93.91666666666667,9.67381974248927e-06,0
1589932786.273955,4,10.0.0.144345610.0.0.1050511,10.0.0.14,43456,10.0.0.10,5051,1,0,0,24,228000000,20,100,0,23,2254,0.9583333333333334,1.0087719298245614e-07,93.91666666666667,9.885964912280701e-06,0
1589932786.273955,4,10.0.0.154345610.0.0.250511,10.0.0.15,43456,10.0.0.2,5051,1,0,0,3,809000000,20,100,0,3,294,1.0,3.708281829419036e-09,98.0,3.634116192830655e-07,0
1589932786.273955,4,10.0.0.24345610.0.0.1550511,10.0.0.2,43456,10.0.0.15,5051,1,0,8,3,818000000,20,100,0,3,294,1.0,3.667481662591687e-09,98.0,3.594132029339853e-07,0
1589932786.274253,1,10.0.0.1505010.0.0.10438046,10.0.0.1,5050,10.0.0.10,43804,6,-1,-1,24,220000000,20,100,0,131122,8656476,5463.416666666667,0.0005960090909090909,360686.5,0.03934761818181818,0
1589932786.274253,1,10.0.0.18010.0.0.10387086,10.0.0.1,80,10.0.0.10,38708,6,-1,-1,4,78000000,20,100,0,2416,60432370,604.0,3.097435897435897e-05,15108092.5,0.7747739743589743,0
1589932786.274253,1,10.0.0.18010.0.0.10387066,10.0.0.1,80,10.0.0.10,38706,6,-1,-1,4,103000000,20,100,0,4,584,1.0,3.883495145631068e-08,146.0,5.669902912621359e-06,0
1589932786.274253,1,10.0.0.1505110.0.0.104345617,10.0.0.1,5051,10.0.0.10,43456,17,-1,-1,4,147000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1589932786.274253,1,10.0.0.1505010.0.0.2448486,10.0.0.1,5050,10.0.0.2,44848,6,-1,-1,3,860000000,20,100,0,48419,3196146,16139.666666666666,5.630116279069767e-05,1065382.0,0.003716448837209302,0
1589932786.274253,1,10.0.0.104380410.0.0.150506,10.0.0.10,43804,10.0.0.1,5050,6,-1,-1,24,222000000,20,100,0,569013,32411046610,23708.875,0.0025631216216216216,1350460275.4166667,145.99570545045046,0
1589932786.274253,1,10.0.0.103870810.0.0.1806,10.0.0.10,38708,10.0.0.1,80,6,-1,-1,4,80000000,20,100,0,1142,76538,285.5,1.4275e-05,19134.5,0.000956725,0
1589932786.274253,1,10.0.0.103870610.0.0.1806,10.0.0.10,38706,10.0.0.1,80,6,-1,-1,4,106000000,20,100,0,4,380,1.0,3.7735849056603774e-08,95.0,3.5849056603773586e-06,0
1589932786.274253,1,10.0.0.104345610.0.0.1505117,10.0.0.10,43456,10.0.0.1,5051,17,-1,-1,14,171000000,20,100,0,893,1350216,63.785714285714285,5.2222222222222226e-06,96444.0,0.007896,0
1589932786.274253,1,10.0.0.154345610.0.0.250511,10.0.0.15,43456,10.0.0.2,5051,1,0,0,3,804000000,20,100,0,3,294,1.0,3.731343283582089e-09,98.0,3.656716417910448e-07,0
